"","VTD","D","G","L","R","W","winner","winningvotes","totalvotes","winningpercent","dpercent","gpercent","lpercent","rpercent","wpercent"
"1970","3104",3789,62,199,3670,58,"D",3789,7720,0.49,0.49,0.01,0.03,0.48,0.01
"1971","3105",1956,40,117,1453,35,"D",1956,3566,0.55,0.55,0.01,0.03,0.41,0.01
"1972","3106",2079,23,82,1128,17,"D",2079,3312,0.63,0.63,0.01,0.02,0.34,0.01
"1973","3107",2009,25,76,498,27,"D",2009,2608,0.77,0.77,0.01,0.03,0.19,0.01
"1974","3108",1082,17,88,1274,25,"R",1274,2461,0.52,0.44,0.01,0.04,0.52,0.01
"1975","3109",2038,37,126,1712,29,"D",2038,3913,0.52,0.52,0.01,0.03,0.44,0.01
"1976","3110",2390,30,91,1195,20,"D",2390,3706,0.64,0.64,0.01,0.02,0.32,0.01
"1977","3111",1,0,0,7,0,"R",7,8,0.88,0.12,0,0,0.88,0
"1978","3112",475,18,43,316,12,"D",475,852,0.56,0.56,0.02,0.05,0.37,0.01
"1979","3113",2652,36,76,558,12,"D",2652,3322,0.8,0.8,0.01,0.02,0.17,0
"1980","3114",1041,20,158,2258,52,"R",2258,3477,0.65,0.3,0.01,0.05,0.65,0.01
"1981","3115",552,5,33,760,23,"R",760,1350,0.56,0.41,0,0.02,0.56,0.02
"1982","3116",550,9,33,424,12,"D",550,1016,0.54,0.54,0.01,0.03,0.42,0.01
"1983","3117",841,16,86,1218,31,"R",1218,2161,0.56,0.39,0.01,0.04,0.56,0.01
"1984","3118",282,3,16,311,6,"R",311,612,0.51,0.46,0,0.03,0.51,0.01
"1985","3119",1130,27,100,1108,50,"D",1130,2365,0.48,0.48,0.01,0.04,0.47,0.02
"1986","3120",940,22,95,956,33,"R",956,2013,0.47,0.47,0.01,0.05,0.47,0.02
"1987","3121",1057,22,110,1450,43,"R",1450,2639,0.55,0.4,0.01,0.04,0.55,0.02
"1988","3122",1365,30,163,2489,56,"R",2489,4047,0.62,0.34,0.01,0.04,0.62,0.01
"1989","3123",90,4,10,71,2,"D",90,175,0.51,0.51,0.02,0.06,0.41,0.01
"1990","3124",618,6,49,909,21,"R",909,1582,0.57,0.39,0,0.03,0.57,0.01
"1991","3125",1577,28,118,2412,70,"R",2412,4135,0.58,0.38,0.01,0.03,0.58,0.02
"1992","3126",333,8,27,535,17,"R",535,903,0.59,0.37,0.01,0.03,0.59,0.02
"1993","3127",1032,31,76,854,24,"D",1032,1993,0.52,0.52,0.02,0.04,0.43,0.01
"1994","3128",14,3,2,23,0,"R",23,42,0.55,0.33,0.07,0.05,0.55,0
"1995","3129",1073,27,83,784,30,"D",1073,1967,0.55,0.55,0.01,0.04,0.4,0.02
"1996","3130",1580,26,157,2538,72,"R",2538,4301,0.59,0.37,0.01,0.04,0.59,0.02
"1997","3131",346,11,34,708,6,"R",708,1099,0.64,0.31,0.01,0.03,0.64,0.01
"1998","3132",1644,32,169,2013,32,"R",2013,3858,0.52,0.43,0.01,0.04,0.52,0.01
"1999","3133",828,12,116,1561,33,"R",1561,2517,0.62,0.33,0,0.05,0.62,0.01
"2000","3134",891,23,64,456,25,"D",891,1434,0.62,0.62,0.02,0.04,0.32,0.02
"2001","3135",267,4,11,269,12,"R",269,551,0.49,0.48,0.01,0.02,0.49,0.02
"2002","3136",166,5,13,171,8,"R",171,355,0.48,0.47,0.01,0.04,0.48,0.02
"2003","3137",1093,21,100,1516,47,"R",1516,2730,0.56,0.4,0.01,0.04,0.56,0.02
"2004","3138",8,0,0,34,0,"R",34,42,0.81,0.19,0,0,0.81,0
"2005","3139",689,23,51,726,10,"R",726,1489,0.49,0.46,0.02,0.03,0.49,0.01
"2006","3140",447,24,56,878,16,"R",878,1405,0.62,0.32,0.02,0.04,0.62,0.01
"2007","3141",501,19,32,333,14,"D",501,885,0.57,0.57,0.02,0.04,0.38,0.02
"2008","3142",1100,17,114,1537,22,"R",1537,2768,0.56,0.4,0.01,0.04,0.56,0.01
"2009","3143",2570,40,231,3232,48,"R",3232,6073,0.53,0.42,0.01,0.04,0.53,0.01
"2010","3144",926,15,97,1625,15,"R",1625,2663,0.61,0.35,0.01,0.04,0.61,0.01
"2011","3145",1324,21,137,1722,37,"R",1722,3204,0.54,0.41,0.01,0.04,0.54,0.01
"2012","3146",2693,54,245,2793,73,"R",2793,5785,0.48,0.47,0.01,0.04,0.48,0.01
"2013","3147",804,11,64,669,32,"D",804,1548,0.52,0.52,0.01,0.04,0.43,0.02
"2014","3148",1296,27,164,3030,41,"R",3030,4517,0.67,0.29,0.01,0.04,0.67,0.01
"2015","3149",1585,50,141,2717,34,"R",2717,4493,0.6,0.35,0.01,0.03,0.6,0.01
"2016","3150",2375,27,71,1052,16,"D",2375,3525,0.67,0.67,0.01,0.02,0.3,0
"2017","3151",1052,20,132,1357,37,"R",1357,2561,0.53,0.41,0.01,0.05,0.53,0.01
"2018","3152",401,12,29,254,10,"D",401,696,0.58,0.58,0.02,0.04,0.36,0.01
"2019","3153",488,8,38,544,19,"R",544,1078,0.5,0.45,0.01,0.04,0.5,0.02
"2020","3154",402,9,56,711,33,"R",711,1178,0.6,0.34,0.01,0.05,0.6,0.03
"2021","3155",87,3,5,26,5,"D",87,121,0.72,0.72,0.02,0.04,0.21,0.04
"2022","3156",306,9,29,869,10,"R",869,1213,0.72,0.25,0.01,0.02,0.72,0.01
"2023","3157",1323,35,123,1789,37,"R",1789,3270,0.55,0.4,0.01,0.04,0.55,0.01
"2024","3158A",8,0,1,18,0,"R",18,27,0.67,0.3,0,0.04,0.67,0
"2025","3158B",2,0,0,6,0,"R",6,8,0.75,0.25,0,0,0.75,0
"2026","3159",669,20,45,456,18,"D",669,1190,0.56,0.56,0.02,0.04,0.38,0.02
"2027","3160",967,26,83,1245,28,"R",1245,2321,0.54,0.42,0.01,0.04,0.54,0.01
"2028","3161",783,19,61,611,15,"D",783,1474,0.53,0.53,0.01,0.04,0.41,0.01
"2029","3162",353,14,35,317,19,"D",353,719,0.49,0.49,0.02,0.05,0.44,0.03
"2030","3163",694,19,57,927,28,"R",927,1697,0.55,0.41,0.01,0.03,0.55,0.02
"2031","3164",1579,38,172,3065,73,"R",3065,4854,0.63,0.33,0.01,0.04,0.63,0.02
"2032","3165",958,23,75,1373,53,"R",1373,2429,0.57,0.39,0.01,0.03,0.57,0.02
"2033","3166",739,25,56,856,3,"R",856,1676,0.51,0.44,0.01,0.03,0.51,0
"2034","3167",2,0,0,2,0,"D",2,4,0.5,0.5,0,0,0.5,0
"2035","3168",235,2,23,225,11,"D",235,485,0.48,0.48,0,0.05,0.46,0.02
"2036","3169",37,0,2,61,1,"R",61,100,0.61,0.37,0,0.02,0.61,0.01
"2037","3171",3,0,0,0,0,"D",3,3,1,1,0,0,0,0
"2038","3172",702,19,69,1121,19,"R",1121,1911,0.59,0.37,0.01,0.04,0.59,0.01
"2039","3173",901,17,81,1145,47,"R",1145,2144,0.53,0.42,0.01,0.04,0.53,0.02
"2040","3174",1166,34,127,1930,50,"R",1930,3257,0.59,0.36,0.01,0.04,0.59,0.02
"2041","3175",185,5,13,191,7,"R",191,394,0.48,0.47,0.01,0.03,0.48,0.02
"2042","3176",744,24,65,1310,14,"R",1310,2143,0.61,0.35,0.01,0.03,0.61,0.01
"2043","3177",383,12,48,1183,12,"R",1183,1626,0.73,0.24,0.01,0.03,0.73,0.01
"2044","3179",1,0,0,0,0,"D",1,1,1,1,0,0,0,0
"2045","3180",308,9,37,321,13,"R",321,675,0.48,0.46,0.01,0.05,0.48,0.02
"2046","3181",487,16,57,833,16,"R",833,1393,0.6,0.35,0.01,0.04,0.6,0.01
"2047","3182",255,2,12,262,4,"R",262,531,0.49,0.48,0,0.02,0.49,0.01
"2048","3183",910,24,81,1213,15,"R",1213,2228,0.54,0.41,0.01,0.04,0.54,0.01
"2049","3184",50,3,10,75,0,"R",75,138,0.54,0.36,0.02,0.07,0.54,0
"2050","3185",50,0,5,74,6,"R",74,129,0.57,0.39,0,0.04,0.57,0.05
"2051","3186",0,0,0,4,0,"R",4,4,1,0,0,0,1,0
"2052","3187",314,11,38,604,9,"R",604,967,0.62,0.32,0.01,0.04,0.62,0.01
"2053","3189",324,6,33,263,15,"D",324,626,0.52,0.52,0.01,0.05,0.42,0.02
"2054","3191",48,0,0,71,2,"R",71,119,0.6,0.4,0,0,0.6,0.02
"2055","3192",98,3,15,400,6,"R",400,516,0.78,0.19,0.01,0.03,0.78,0.01
"2056","3193",556,5,67,1536,13,"R",1536,2164,0.71,0.26,0,0.03,0.71,0.01
"2057","3194",430,10,60,800,7,"R",800,1300,0.62,0.33,0.01,0.05,0.62,0.01
"2058","3196",444,9,60,1053,11,"R",1053,1566,0.67,0.28,0.01,0.04,0.67,0.01
"2059","3200",1329,24,90,1692,11,"R",1692,3135,0.54,0.42,0.01,0.03,0.54,0
"2060","3201",542,2,30,521,0,"D",542,1095,0.49,0.49,0,0.03,0.48,0
"2061","3202",975,7,16,343,0,"D",975,1341,0.73,0.73,0.01,0.01,0.26,0
"2062","3203",850,11,29,364,0,"D",850,1254,0.68,0.68,0.01,0.02,0.29,0
"2063","3204",911,12,47,529,0,"D",911,1499,0.61,0.61,0.01,0.03,0.35,0
"2064","3205",902,12,12,115,0,"D",902,1041,0.87,0.87,0.01,0.01,0.11,0
"2065","3206",810,12,46,690,0,"D",810,1558,0.52,0.52,0.01,0.03,0.44,0
"2066","3207",908,14,43,669,0,"D",908,1634,0.56,0.56,0.01,0.03,0.41,0
"2067","3208",664,11,28,324,0,"D",664,1027,0.65,0.65,0.01,0.03,0.32,0
"2068","3209",687,9,76,2075,25,"R",2075,2847,0.73,0.24,0,0.03,0.73,0.01
"2069","3210",698,8,25,501,0,"D",698,1232,0.57,0.57,0.01,0.02,0.41,0
"2070","3211",458,4,17,200,0,"D",458,679,0.67,0.67,0.01,0.03,0.29,0
"2071","3212",587,10,49,655,12,"R",655,1301,0.5,0.45,0.01,0.04,0.5,0.01
"2072","3213",379,8,44,681,7,"R",681,1112,0.61,0.34,0.01,0.04,0.61,0.01
"2073","3214",540,14,73,1000,9,"R",1000,1627,0.61,0.33,0.01,0.04,0.61,0.01
"2074","3215",422,6,42,1120,6,"R",1120,1590,0.7,0.27,0,0.03,0.7,0
"2075","3216",954,17,85,1167,15,"R",1167,2223,0.52,0.43,0.01,0.04,0.52,0.01
"2076","3240",530,10,64,985,26,"R",985,1589,0.62,0.33,0.01,0.04,0.62,0.02
"2077","3247",429,14,47,497,11,"R",497,987,0.5,0.43,0.01,0.05,0.5,0.01
"2078","3248",745,17,108,1980,27,"R",1980,2850,0.69,0.26,0.01,0.04,0.69,0.01
"2079","3249",903,26,98,1177,12,"R",1177,2204,0.53,0.41,0.01,0.04,0.53,0.01
"2080","3254",558,21,64,812,9,"R",812,1455,0.56,0.38,0.01,0.04,0.56,0.01
"2081","3260",321,9,59,733,4,"R",733,1122,0.65,0.29,0.01,0.05,0.65,0
"2082","3282",325,12,28,724,10,"R",724,1089,0.66,0.3,0.01,0.03,0.66,0.01
"2083","3283",370,7,52,794,8,"R",794,1223,0.65,0.3,0.01,0.04,0.65,0.01
"2084","3286",118,0,18,404,4,"R",404,540,0.75,0.22,0,0.03,0.75,0.01
"2085","3287",479,17,59,973,13,"R",973,1528,0.64,0.31,0.01,0.04,0.64,0.01
"2086","3289",486,24,74,1037,6,"R",1037,1621,0.64,0.3,0.01,0.05,0.64,0
"2087","3300",819,15,41,910,0,"R",910,1785,0.51,0.46,0.01,0.02,0.51,0
"2088","3301",712,11,48,901,0,"R",901,1672,0.54,0.43,0.01,0.03,0.54,0
"2089","3302",444,11,24,421,0,"D",444,900,0.49,0.49,0.01,0.03,0.47,0
"2090","3303",998,11,49,536,0,"D",998,1594,0.63,0.63,0.01,0.03,0.34,0
"2091","3304",866,18,48,867,0,"R",867,1799,0.48,0.48,0.01,0.03,0.48,0
"2092","3305",1145,23,71,1135,0,"D",1145,2374,0.48,0.48,0.01,0.03,0.48,0
"2093","3306",493,6,25,396,0,"D",493,920,0.54,0.54,0.01,0.03,0.43,0
"2094","3307",595,7,25,372,0,"D",595,999,0.6,0.6,0.01,0.03,0.37,0
"2095","3308",608,15,27,462,0,"D",608,1112,0.55,0.55,0.01,0.02,0.42,0
"2096","3309",689,10,36,619,0,"D",689,1354,0.51,0.51,0.01,0.03,0.46,0
"2097","3310",666,17,31,777,0,"R",777,1491,0.52,0.45,0.01,0.02,0.52,0
"2098","3311",678,13,46,837,0,"R",837,1574,0.53,0.43,0.01,0.03,0.53,0
"2099","3312",1097,12,45,916,0,"D",1097,2070,0.53,0.53,0.01,0.02,0.44,0
"2100","3313",1985,33,85,999,0,"D",1985,3102,0.64,0.64,0.01,0.03,0.32,0
"2101","3314",1482,21,53,706,0,"D",1482,2262,0.66,0.66,0.01,0.02,0.31,0
"2102","3315",477,7,29,283,0,"D",477,796,0.6,0.6,0.01,0.04,0.36,0
"2103","3316",926,13,32,753,0,"D",926,1724,0.54,0.54,0.01,0.02,0.44,0
"2104","3317",670,9,14,348,0,"D",670,1041,0.64,0.64,0.01,0.01,0.33,0
"2105","3318",545,13,23,390,0,"D",545,971,0.56,0.56,0.01,0.02,0.4,0
"2106","3321",1057,27,166,1885,25,"R",1885,3135,0.6,0.34,0.01,0.05,0.6,0.01
"2107","3322",475,13,55,968,15,"R",968,1511,0.64,0.31,0.01,0.04,0.64,0.01
"2108","3323",674,6,96,1743,25,"R",1743,2519,0.69,0.27,0,0.04,0.69,0.01
"2109","3324",424,10,59,1013,8,"R",1013,1506,0.67,0.28,0.01,0.04,0.67,0.01
"2110","3325",185,0,29,475,3,"R",475,689,0.69,0.27,0,0.04,0.69,0
"2111","3326",181,4,26,324,2,"R",324,535,0.61,0.34,0.01,0.05,0.61,0
"2112","3327",365,14,35,738,7,"R",738,1152,0.64,0.32,0.01,0.03,0.64,0.01
"2113","3329",706,11,64,702,13,"D",706,1483,0.48,0.48,0.01,0.04,0.47,0.01
"2114","3330",192,9,33,625,5,"R",625,859,0.73,0.22,0.01,0.04,0.73,0.01
"2115","3331",711,16,87,2094,17,"R",2094,2908,0.72,0.24,0.01,0.03,0.72,0.01
"2116","3332",686,16,67,1032,5,"R",1032,1801,0.57,0.38,0.01,0.04,0.57,0
"2117","3333",971,38,112,1804,26,"R",1804,2925,0.62,0.33,0.01,0.04,0.62,0.01
"2118","3334",562,17,51,752,14,"R",752,1382,0.54,0.41,0.01,0.04,0.54,0.01
"2119","3335",488,16,45,986,14,"R",986,1535,0.64,0.32,0.01,0.03,0.64,0.01
"2120","3336",857,16,43,730,11,"D",857,1646,0.52,0.52,0.01,0.03,0.44,0.01
"2121","3359",510,11,64,963,7,"R",963,1548,0.62,0.33,0.01,0.04,0.62,0
"2122","3361",637,13,107,1213,29,"R",1213,1970,0.62,0.32,0.01,0.05,0.62,0.01
"2123","3363",59,2,15,351,7,"R",351,427,0.82,0.14,0,0.04,0.82,0.02
"2124","3364",222,5,32,323,6,"R",323,582,0.55,0.38,0.01,0.05,0.55,0.01
"2125","3365",741,13,105,2034,24,"R",2034,2893,0.7,0.26,0,0.04,0.7,0.01
"2126","3367",355,13,44,788,15,"R",788,1200,0.66,0.3,0.01,0.04,0.66,0.01
"2127","3368",150,3,18,408,2,"R",408,579,0.7,0.26,0.01,0.03,0.7,0
"2128","3372",1376,30,196,2794,63,"R",2794,4396,0.64,0.31,0.01,0.04,0.64,0.01
"2129","3384",418,8,68,632,17,"R",632,1126,0.56,0.37,0.01,0.06,0.56,0.02
"2130","3385",687,5,109,1385,18,"R",1385,2186,0.63,0.31,0,0.05,0.63,0.01
"2131","3386",902,20,134,2609,24,"R",2609,3665,0.71,0.25,0.01,0.04,0.71,0.01
"2132","3387",361,11,66,1087,13,"R",1087,1525,0.71,0.24,0.01,0.04,0.71,0.01
"2133","3389",1092,31,102,1164,30,"R",1164,2389,0.49,0.46,0.01,0.04,0.49,0.01
"2134","3390",775,11,112,1948,27,"R",1948,2846,0.68,0.27,0,0.04,0.68,0.01
"2135","3391",811,25,56,737,22,"D",811,1629,0.5,0.5,0.02,0.03,0.45,0.01
"2136","3392",407,7,55,1116,10,"R",1116,1585,0.7,0.26,0,0.03,0.7,0.01
"2137","3396",794,14,99,1309,33,"R",1309,2216,0.59,0.36,0.01,0.04,0.59,0.01
"2138","3398",292,9,54,656,1,"R",656,1011,0.65,0.29,0.01,0.05,0.65,0
"2139","3400",280,3,9,72,0,"D",280,364,0.77,0.77,0.01,0.02,0.2,0
"2140","3401",1,0,0,0,0,"D",1,1,1,1,0,0,0,0
"2141","3402",148,0,2,47,0,"D",148,197,0.75,0.75,0,0.01,0.24,0
"2142","3404",729,12,25,321,0,"D",729,1087,0.67,0.67,0.01,0.02,0.3,0
"2143","3405",1002,15,38,475,0,"D",1002,1530,0.65,0.65,0.01,0.02,0.31,0
"2144","3406",7,0,0,12,0,"R",12,19,0.63,0.37,0,0,0.63,0
"2145","3407",78,1,6,106,0,"R",106,191,0.55,0.41,0.01,0.03,0.55,0
"2146","3408",693,5,22,264,0,"D",693,984,0.7,0.7,0.01,0.02,0.27,0
"2147","3409",196,1,6,111,0,"D",196,314,0.62,0.62,0,0.02,0.35,0
"2148","3410",112,2,5,39,0,"D",112,158,0.71,0.71,0.01,0.03,0.25,0
"2149","3411",1,0,0,1,0,"D",1,2,0.5,0.5,0,0,0.5,0
"2150","3417",427,11,57,900,17,"R",900,1395,0.65,0.31,0.01,0.04,0.65,0.01
"2151","3421",251,11,29,751,10,"R",751,1042,0.72,0.24,0.01,0.03,0.72,0.01
"2152","3422",746,9,116,2139,33,"R",2139,3010,0.71,0.25,0,0.04,0.71,0.01
"2153","3433",121,2,10,313,0,"R",313,446,0.7,0.27,0,0.02,0.7,0
"2154","3443",522,11,78,968,13,"R",968,1579,0.61,0.33,0.01,0.05,0.61,0.01
"2155","3447",1,0,0,0,0,"D",1,1,1,1,0,0,0,0
"2156","3465",738,11,73,1269,23,"R",1269,2091,0.61,0.35,0.01,0.03,0.61,0.01
"2157","3469",316,9,45,523,5,"R",523,893,0.59,0.35,0.01,0.05,0.59,0.01
"2158","3470",24,0,4,63,0,"R",63,91,0.69,0.26,0,0.04,0.69,0
"2159","3471",316,7,56,883,16,"R",883,1262,0.7,0.25,0.01,0.04,0.7,0.01
"2160","3486",898,21,143,2010,32,"R",2010,3072,0.65,0.29,0.01,0.05,0.65,0.01
"2161","3500",976,12,96,2322,1,"R",2322,3406,0.68,0.29,0,0.03,0.68,0
"2162","3501",0,0,0,1,0,"R",1,1,1,0,0,0,1,0
"2163","3502",221,7,33,864,19,"R",864,1125,0.77,0.2,0.01,0.03,0.77,0.02
"2164","3507",476,16,63,900,8,"R",900,1455,0.62,0.33,0.01,0.04,0.62,0.01
"2165","3509",395,14,59,838,8,"R",838,1306,0.64,0.3,0.01,0.05,0.64,0.01
"2166","3510",564,8,79,1579,11,"R",1579,2230,0.71,0.25,0,0.04,0.71,0
"2167","3511",876,12,70,775,7,"D",876,1733,0.51,0.51,0.01,0.04,0.45,0
"2168","3516",387,17,55,955,7,"R",955,1414,0.68,0.27,0.01,0.04,0.68,0
"2169","3517",575,23,50,744,15,"R",744,1392,0.53,0.41,0.02,0.04,0.53,0.01
"2170","3526",240,2,18,581,7,"R",581,841,0.69,0.29,0,0.02,0.69,0.01
"2171","3527",438,9,55,1058,14,"R",1058,1560,0.68,0.28,0.01,0.04,0.68,0.01
"2172","3529",512,11,53,1101,13,"R",1101,1677,0.66,0.31,0.01,0.03,0.66,0.01
"2173","3530",679,15,103,1180,24,"R",1180,1977,0.6,0.34,0.01,0.05,0.6,0.01
"2174","3538",433,3,45,781,10,"R",781,1262,0.62,0.34,0,0.04,0.62,0.01
"2175","3539",1,1,1,8,0,"R",8,11,0.73,0.09,0.09,0.09,0.73,0
"2176","3542",522,6,85,973,18,"R",973,1586,0.61,0.33,0,0.05,0.61,0.01
"2177","3545",491,14,70,1236,8,"R",1236,1811,0.68,0.27,0.01,0.04,0.68,0
"2178","3552",1644,20,190,2684,54,"R",2684,4538,0.59,0.36,0,0.04,0.59,0.01
"2179","3554",533,10,70,1430,24,"R",1430,2043,0.7,0.26,0,0.03,0.7,0.01
"2180","3558",1167,20,156,2448,29,"R",2448,3791,0.65,0.31,0.01,0.04,0.65,0.01
"2181","3562",17,0,5,83,1,"R",83,105,0.79,0.16,0,0.05,0.79,0.01
"2182","3567",706,18,112,2585,28,"R",2585,3421,0.76,0.21,0.01,0.03,0.76,0.01
"2183","3570",606,14,73,1101,22,"R",1101,1794,0.61,0.34,0.01,0.04,0.61,0.01
"2184","3574",105,3,7,106,2,"R",106,221,0.48,0.48,0.01,0.03,0.48,0.01
"2185","3579",145,1,26,468,4,"R",468,640,0.73,0.23,0,0.04,0.73,0.01
"2186","3582",1,0,1,25,0,"R",25,27,0.93,0.04,0,0.04,0.93,0
"2187","3600",1087,6,16,252,0,"D",1087,1361,0.8,0.8,0,0.01,0.19,0
"2188","3601",1083,9,19,292,0,"D",1083,1403,0.77,0.77,0.01,0.01,0.21,0
"2189","3602",356,5,6,80,0,"D",356,447,0.8,0.8,0.01,0.01,0.18,0
"2190","3603",144,0,0,44,0,"D",144,188,0.77,0.77,0,0,0.23,0
"2191","3604",1393,9,27,380,0,"D",1393,1809,0.77,0.77,0,0.01,0.21,0
"2192","3605",1594,12,38,318,0,"D",1594,1962,0.81,0.81,0.01,0.02,0.16,0
"2193","3606",1420,12,9,128,0,"D",1420,1569,0.91,0.91,0.01,0.01,0.08,0
"2194","3607",2187,12,27,275,0,"D",2187,2501,0.87,0.87,0,0.01,0.11,0
"2195","3608",1830,15,18,128,0,"D",1830,1991,0.92,0.92,0.01,0.01,0.06,0
"2196","3609",1604,8,28,331,0,"D",1604,1971,0.81,0.81,0,0.01,0.17,0
"2197","3610",206,1,7,108,0,"D",206,322,0.64,0.64,0,0.02,0.34,0
"2198","3611",497,1,10,211,0,"D",497,719,0.69,0.69,0,0.01,0.29,0
"2199","3612",1733,9,22,287,0,"D",1733,2051,0.84,0.84,0,0.01,0.14,0
"2200","3613",279,3,9,126,0,"D",279,417,0.67,0.67,0.01,0.02,0.3,0
"2201","3614",485,3,5,58,0,"D",485,551,0.88,0.88,0.01,0.01,0.11,0
"2202","3615",1453,8,16,166,0,"D",1453,1643,0.88,0.88,0,0.01,0.1,0
"2203","3616",335,3,7,44,0,"D",335,389,0.86,0.86,0.01,0.02,0.11,0
"2204","3617",1261,8,13,111,0,"D",1261,1393,0.91,0.91,0.01,0.01,0.08,0
"2205","3618",159,1,1,24,0,"D",159,185,0.86,0.86,0.01,0.01,0.13,0
"2206","3619",81,3,1,33,0,"D",81,118,0.69,0.69,0.03,0.01,0.28,0
"2207","3620",648,7,8,76,0,"D",648,739,0.88,0.88,0.01,0.01,0.1,0
"2208","3624",71,0,3,115,0,"R",115,189,0.61,0.38,0,0.02,0.61,0
"2209","3626",120,1,9,313,2,"R",313,443,0.71,0.27,0,0.02,0.71,0
"2210","3637",1405,40,153,2101,47,"R",2101,3699,0.57,0.38,0.01,0.04,0.57,0.01
"2211","3646",581,16,110,1204,28,"R",1204,1911,0.63,0.3,0.01,0.06,0.63,0.01
"2212","3647",746,6,73,1030,37,"R",1030,1855,0.56,0.4,0,0.04,0.56,0.02
"2213","3648",713,17,116,1492,31,"R",1492,2338,0.64,0.3,0.01,0.05,0.64,0.01
"2214","3662",3,0,0,9,0,"R",9,12,0.75,0.25,0,0,0.75,0
"2215","3663",2,0,0,3,0,"R",3,5,0.6,0.4,0,0,0.6,0
"2216","3664",0,0,0,1,0,"R",1,1,1,0,0,0,1,0
"2217","3665",1,0,0,9,0,"R",9,10,0.9,0.1,0,0,0.9,0
"2218","3667",19,0,5,41,0,"R",41,65,0.63,0.29,0,0.08,0.63,0
"2219","3668",64,1,7,177,2,"R",177,249,0.71,0.26,0,0.03,0.71,0.01
"2220","3669",2,0,0,1,0,"D",2,3,0.67,0.67,0,0,0.33,0
"2221","3671",112,7,17,345,3,"R",345,481,0.72,0.23,0.01,0.04,0.72,0.01
"2222","3700",1478,15,69,984,0,"D",1478,2546,0.58,0.58,0.01,0.03,0.39,0
"2223","3701",1241,23,76,1115,0,"D",1241,2455,0.51,0.51,0.01,0.03,0.45,0
"2224","3702",717,13,36,647,0,"D",717,1413,0.51,0.51,0.01,0.03,0.46,0
"2225","3703",24,1,4,32,0,"R",32,61,0.52,0.39,0.02,0.07,0.52,0
"2226","3800",2361,17,25,147,0,"D",2361,2550,0.93,0.93,0.01,0.01,0.06,0
"2227","3801",157,2,3,37,0,"D",157,199,0.79,0.79,0.01,0.02,0.19,0
"2228","3802",2133,13,20,232,0,"D",2133,2398,0.89,0.89,0.01,0.01,0.1,0
"2229","3803",1892,9,15,177,0,"D",1892,2093,0.9,0.9,0,0.01,0.08,0
"2230","3805",2676,14,15,153,0,"D",2676,2858,0.94,0.94,0,0.01,0.05,0
"2231","3806",515,5,9,35,0,"D",515,564,0.91,0.91,0.01,0.02,0.06,0
"2232","3807",1103,3,22,192,0,"D",1103,1320,0.84,0.84,0,0.02,0.15,0
"2233","3808",1409,15,55,739,0,"D",1409,2218,0.64,0.64,0.01,0.02,0.33,0
"2234","3809",167,1,4,42,0,"D",167,214,0.78,0.78,0,0.02,0.2,0
"2235","3900",2499,21,46,508,0,"D",2499,3074,0.81,0.81,0.01,0.01,0.17,0
"2236","3920",546,5,28,860,0,"R",860,1439,0.6,0.38,0,0.02,0.6,0
"2237","3921",988,15,36,1113,0,"R",1113,2152,0.52,0.46,0.01,0.02,0.52,0
"2238","3922",42,0,2,9,0,"D",42,53,0.79,0.79,0,0.04,0.17,0
"2239","3940A",691,9,23,325,0,"D",691,1048,0.66,0.66,0.01,0.02,0.31,0
"2240","3950",682,13,13,200,0,"D",682,908,0.75,0.75,0.01,0.01,0.22,0
"2241","3C7G",478,12,39,1239,20,"R",1239,1768,0.7,0.27,0.01,0.02,0.7,0.01
"2242","3H3C",98,1,6,297,4,"R",297,402,0.74,0.24,0,0.01,0.74,0.01
"2243","4-11",45,0,5,317,0,"R",317,367,0.86,0.12,0,0.01,0.86,0
"2244","4-19",38,2,5,509,2,"R",509,554,0.92,0.07,0,0.01,0.92,0
"2245","4000",543,24,123,2130,20,"R",2130,2820,0.76,0.19,0.01,0.04,0.76,0.01
"2246","4000A",166,2,6,44,0,"D",166,218,0.76,0.76,0.01,0.03,0.2,0
"2247","4001",989,24,65,1000,27,"R",1000,2078,0.48,0.48,0.01,0.03,0.48,0.01
"2248","4001A",468,8,21,110,0,"D",468,607,0.77,0.77,0.01,0.03,0.18,0
"2249","4002",1067,23,98,2142,17,"R",2142,3330,0.64,0.32,0.01,0.03,0.64,0.01
"2250","4003",1490,27,149,3753,37,"R",3753,5419,0.69,0.27,0,0.03,0.69,0.01
"2251","4003A",99,0,4,22,0,"D",99,125,0.79,0.79,0,0.03,0.18,0
"2252","4004",1919,68,118,1422,7,"D",1919,3527,0.54,0.54,0.02,0.03,0.4,0
"2253","4005",1681,35,122,1125,36,"D",1681,2963,0.57,0.57,0.01,0.04,0.38,0.01
"2254","4006",1336,66,108,802,36,"D",1336,2312,0.58,0.58,0.03,0.05,0.35,0.02
"2255","4006A",497,4,43,256,0,"D",497,800,0.62,0.62,0,0.05,0.32,0
"2256","4007",2997,132,251,1172,69,"D",2997,4552,0.66,0.66,0.03,0.06,0.26,0.02
"2257","4008",1082,47,60,461,22,"D",1082,1650,0.66,0.66,0.03,0.04,0.28,0.01
"2258","4009",2009,79,125,706,28,"D",2009,2919,0.69,0.69,0.03,0.04,0.24,0.01
"2259","4010",1442,45,87,831,16,"D",1442,2405,0.6,0.6,0.02,0.04,0.35,0.01
